dong,stnIds,stnNm,lat,lon
서초1동,108,서울관측소,37.486,127.021111111111
서초2동,108,서울관측소,37.48925,127.026911111111
서초3동,108,서울관측소,37.4807833333333,127.014566666666
서초4동,108,서울관측소,37.4998555555555,127.024222222222
잠원동,108,서울관측소,37.5120888888888,127.016052777777
반포본동,108,서울관측소,37.49765,126.988133333333
반포1동,108,서울관측소,37.5033194444444,127.014466666666
반포2동,108,서울관측소,37.5017833333333,126.996575
반포3동,108,서울관측소,37.5091722222222,127.007752777777
반포4동,108,서울관측소,37.4947583333333,127.002441666666
방배본동,108,서울관측소,37.4914444444444,126.990833333333
방배1동,108,서울관측소,37.4805583333333,126.996608333333
방배2동,108,서울관측소,37.4769666666666,126.987611111111
방배3동,108,서울관측소,37.4775388888888,127.001133333333
방배4동,108,서울관측소,37.4868166666666,126.993322222222
양재1동,108,서울관측소,37.4816361111111,127.038152777777
양재2동,108,서울관측소,37.4677805555555,127.043144444444
내곡동,108,서울관측소,37.4591444444444,127.053411111111
